epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,25794,0.57575,0.30894,0.90963,0.96686,0.97962,0.98836,0.87466,0.53686,0.26291,0.91964,0.0008318,0.0008318,0.0008318
61,26215.7,0.58012,0.30814,0.90222,0.97776,0.97962,0.9912,0.87921,0.54021,0.26607,0.92011,0.000812,0.000812,0.000812
62,26636.6,0.56854,0.3062,0.90389,0.97232,0.97649,0.98801,0.8713,0.54271,0.26967,0.92291,0.0007922,0.0007922,0.0007922
63,27061.9,0.56426,0.30002,0.89609,0.97344,0.98276,0.98983,0.87251,0.5552,0.2766,0.91864,0.0007724,0.0007724,0.0007724
64,27496.2,0.57752,0.30145,0.90522,0.9694,0.97806,0.98966,0.87891,0.52899,0.2664,0.91805,0.0007526,0.0007526,0.0007526
65,27928.8,0.58092,0.30198,0.91066,0.97637,0.97135,0.98768,0.87551,0.53433,0.26397,0.91735,0.0007328,0.0007328,0.0007328
66,31592,0.57092,0.3034,0.90221,0.9742,0.97492,0.99026,0.87617,0.54622,0.27806,0.91858,0.000713,0.000713,0.000713
67,32018.6,0.55856,0.29442,0.89672,0.96759,0.98258,0.988,0.87251,0.55203,0.26955,0.92014,0.0006932,0.0006932,0.0006932
68,32437.8,0.57477,0.2944,0.90259,0.98114,0.97837,0.99001,0.879,0.53514,0.26806,0.9152,0.0006734,0.0006734,0.0006734
69,83593.5,0.56822,0.29482,0.90542,0.98062,0.97649,0.98831,0.88121,0.53149,0.26563,0.91807,0.0006536,0.0006536,0.0006536
70,84033,0.55687,0.292,0.90154,0.97931,0.98119,0.98789,0.8764,0.54868,0.2729,0.91849,0.0006338,0.0006338,0.0006338
71,84452.2,0.55946,0.28763,0.89869,0.96308,0.9814,0.98713,0.87556,0.53656,0.27213,0.91841,0.000614,0.000614,0.000614
72,84869.7,0.55965,0.29273,0.89907,0.97345,0.977,0.98787,0.8763,0.54119,0.28186,0.92405,0.0005942,0.0005942,0.0005942
73,85303,0.55698,0.29482,0.90086,0.97497,0.97688,0.98774,0.87239,0.53967,0.26637,0.91606,0.0005744,0.0005744,0.0005744
74,85745.3,0.5545,0.28505,0.89854,0.97653,0.97804,0.98927,0.88388,0.52852,0.25604,0.91533,0.0005546,0.0005546,0.0005546
75,86179.7,0.56322,0.28829,0.90054,0.96605,0.98746,0.98907,0.87754,0.53946,0.26462,0.92043,0.0005348,0.0005348,0.0005348
76,86608.7,0.53922,0.27819,0.90067,0.9705,0.97962,0.98613,0.88011,0.52887,0.26693,0.91514,0.000515,0.000515,0.000515
77,87046.7,0.54503,0.28684,0.89969,0.97736,0.97649,0.98618,0.88215,0.52236,0.26179,0.91378,0.0004952,0.0004952,0.0004952
78,87482.9,0.54197,0.28095,0.89558,0.97308,0.97962,0.98969,0.88478,0.52924,0.25386,0.91526,0.0004754,0.0004754,0.0004754
79,87914.3,0.54147,0.27556,0.88644,0.98007,0.97806,0.98769,0.8775,0.53158,0.25486,0.91811,0.0004556,0.0004556,0.0004556
